id,satisfaction_level,last_evaluation,number_project,average_monthly_hours,time_spend_company,Work_accident,package,promotion_last_5years,division,salary
1,0.56,0.35,1,82,4,1,c,0,technical,low
2,0.9,0.81,2,199,8,1,e,0,technical,low
3,0.64,0.63,1,136,6,1,d,0,technical,medium
4,0.51,0.57,1,116,6,1,d,0,IT,medium
5,0.32,0.15,1,39,2,0,c,0,marketing,high
6,0.27,0.19,0,33,1,0,c,0,product_mng,medium
7,0.21,0.05,0,18,0,0,d,0,support,low
8,0.81,0.82,2,181,8,1,d,0,product_mng,low
9,0.53,0.53,1,119,6,1,c,0,marketing,low
10,0.65,0.69,1,139,6,0,b,0,management,low
11,0.14,0.06,0,3,0,0,b,0,accounting,low
12,0.89,0.86,2,197,9,1,c,0,product_mng,medium
13,0.77,0.79,1,163,7,1,b,0,sales,medium
14,0.39,0.22,0,47,2,0,b,0,technical,low
15,0.31,0.13,1,44,2,0,b,0,management,low
16,0.31,0.17,0,32,1,0,a,0,hr,low
17,0.46,0.23,0,69,3,1,d,0,support,low
18,0.47,0.5,1,106,4,1,b,0,management,medium
19,0.61,0.35,1,94,4,0,d,0,sales,low
20,0.4,0.22,0,50,2,0,b,0,product_mng,low
21,0.56,0.54,1,117,6,1,d,0,marketing,low
22,0.32,0.13,0,24,2,0,d,0,RandD,low
23,0.47,0.3,1,54,2,0,d,1,support,low
24,0.53,0.38,1,67,3,0,d,0,technical,medium
25,0.64,0.41,1,99,4,0,c,1,product_mng,low
26,0.69,0.67,2,156,7,0,e,0,hr,medium
27,0.32,0.2,1,49,2,0,b,0,management,medium
28,0.44,0.47,1,104,5,1,e,0,marketing,medium
29,0.52,0.53,1,111,6,1,c,0,management,low
30,0.17,0.03,0,11,0,0,b,0,technical,low
31,0.55,0.55,1,132,5,1,d,0,technical,low
32,0.31,0.14,0,35,1,0,d,0,management,high
33,0.18,0.09,0,4,1,0,b,0,support,medium
34,0.86,0.86,2,199,9,1,d,1,marketing,low
35,0.89,0.91,2,189,9,1,b,0,sales,low
36,0.71,0.73,2,166,8,1,b,0,RandD,low
37,0.4,0.24,0,60,2,1,d,0,product_mng,low
38,0.27,0.13,0,17,1,0,b,0,RandD,medium
39,0.59,0.62,1,132,6,0,b,0,technical,low
40,0.59,0.37,1,97,4,0,e,0,management,medium
41,0.32,0.12,0,32,1,0,c,0,management,high
42,0.6,0.44,1,100,4,1,c,0,marketing,low
43,0.18,0.06,0,1,1,0,c,0,accounting,low
44,0.84,0.81,2,174,8,1,d,0,management,medium
45,0.46,0.26,0,45,3,0,d,0,product_mng,medium
46,0.56,0.55,1,132,6,1,d,0,accounting,low
47,0.42,0.27,0,58,3,1,d,0,technical,high
48,0.45,0.52,1,95,5,1,b,0,product_mng,medium
49,0.49,0.53,1,109,5,0,c,0,sales,low
50,0.36,0.13,0,41,2,0,c,0,marketing,low
51,0.87,0.85,2,202,9,1,c,0,IT,low
52,0.69,0.68,1,158,7,1,b,0,hr,medium
53,0.87,0.86,2,192,8,1,e,0,support,low
54,0.82,0.83,2,175,8,1,b,0,marketing,low
55,0.52,0.56,1,120,6,0,b,0,technical,low
56,0.82,0.83,2,189,8,1,b,1,sales,medium
57,0.2,0.11,0,23,1,0,d,0,support,medium
58,0.31,0.17,0,38,2,1,a,0,accounting,medium
59,0.19,0.01,0,11,0,0,e,0,RandD,medium
60,0.47,0.3,0,74,3,1,e,1,marketing,high
61,0.54,0.4,1,81,4,1,b,0,technical,low
62,0.42,0.27,1,57,2,0,c,1,management,medium
63,0.76,0.75,2,172,7,1,b,0,management,medium
64,0.54,0.34,1,64,3,0,c,0,technical,medium
65,0.46,0.3,0,56,2,1,c,0,support,low
66,0.45,0.48,1,117,5,1,d,0,support,medium
67,0.27,0.11,0,25,2,0,a,0,marketing,low
68,0.75,0.77,2,156,7,1,e,0,technical,low
69,0.25,0.1,0,16,0,0,e,0,marketing,high
70,0.89,0.87,2,192,9,1,c,0,marketing,medium
71,0.69,0.69,2,155,7,1,c,0,marketing,medium
72,0.31,0.17,0,33,1,0,c,0,technical,low
73,0.13,-0.03,0,4,1,0,a,0,management,medium
74,0.73,0.78,1,166,7,1,d,0,hr,high
75,0.63,0.63,1,140,7,1,c,0,product_mng,low
76,0.67,0.69,1,144,7,0,b,0,technical,low
77,0.71,0.66,1,149,7,1,c,1,sales,medium
78,0.2,0.07,0,11,0,0,b,0,management,medium
79,0.49,0.28,1,72,3,0,d,0,marketing,low
80,0.3,0.13,0,19,1,0,c,0,sales,low
81,0.77,0.78,2,178,8,1,c,0,management,low
82,0.56,0.57,1,128,6,1,c,0,support,low
83,0.45,0.25,0,61,3,1,d,0,product_mng,low
84,0.22,0.03,0,4,1,0,d,0,hr,high
85,0.47,0.24,1,52,3,0,d,0,technical,low
86,0.45,0.28,1,68,3,0,c,0,product_mng,low
87,0.64,0.67,1,140,7,1,b,0,hr,high
88,0.54,0.58,1,118,5,1,b,0,management,low
89,0.84,0.81,2,175,8,1,c,1,product_mng,medium
90,0.65,0.43,1,103,4,1,e,0,technical,high
91,0.27,0.09,0,28,1,0,c,0,hr,medium
92,0.65,0.61,1,149,7,1,d,0,technical,high
93,0.69,0.65,1,145,7,1,b,0,marketing,low
94,0.48,0.54,1,103,5,1,d,0,hr,low
95,0.69,0.7,2,144,7,1,b,0,technical,high
96,0.59,0.41,1,107,5,1,c,0,product_mng,low
97,0.44,0.44,1,100,5,0,b,0,management,medium
98,0.58,0.42,1,85,4,0,d,0,sales,low
99,0.19,0.05,0,4,0,0,c,0,technical,medium
100,0.29,0.11,0,27,1,0,c,0,marketing,low
101,0.19,0.02,0,2,0,0,b,0,RandD,low
102,0.55,0.55,1,129,6,0,b,0,product_mng,high
103,0.49,0.33,0,72,3,1,b,0,RandD,low
104,0.43,0.49,1,101,5,1,c,0,sales,low
105,0.83,0.8,2,183,9,1,b,0,management,high
106,0.39,0.26,1,50,3,0,b,0,sales,high
107,0.6,0.39,1,88,4,0,c,0,technical,medium
108,0.69,0.66,2,147,7,1,b,1,technical,low
109,0.33,0.2,0,39,2,1,c,0,product_mng,high
110,0.18,0.04,0,21,0,0,a,0,product_mng,low
111,0.48,0.22,1,56,3,1,e,0,sales,medium
112,0.27,0.17,0,40,1,1,d,0,accounting,medium
113,0.84,0.81,2,189,9,1,c,0,management,medium
114,0.72,0.76,2,163,8,1,e,1,product_mng,medium
115,0.55,0.62,1,117,6,1,d,0,technical,medium
116,0.78,0.74,2,179,8,1,c,0,marketing,low
117,0.74,0.72,1,164,7,1,b,0,marketing,low
118,0.39,0.2,0,41,1,1,b,0,technical,low
119,0.81,0.83,2,173,8,0,b,1,support,low
120,0.45,0.51,1,117,4,1,d,0,technical,medium
